Artist,Stage,Date,Time
"HORICHH","Metaphoenix","Friday May 16","TBA"
"HORSEGIIRL","Bionic Jungle","Saturday May 17","TBA"
"HOT SINCE 82","Neon Garden","Friday May 16","TBA"
"HUGEL","Circuit Grounds","Saturday May 17","TBA"
"HUGEL & FRIENDS","Stereo Bloom","Saturday May 17","TBA"
"HUMAN404","Forest House","Sunday May 18","TBA"
"I HATE MODELS PRESENTS FACE II FACE A/V","Circuit Grounds","Sunday May 18","TBA"
"ILLENIUM B2B SLANDER","Kinetic Field","Saturday May 17","TBA"
"INFEKT","Basspod","Saturday May 17","TBA"
"INIGMA","BeatBox Art Car","Friday May 16","TBA"
"INTERPLANETARY CRIMINAL","Stereo Bloom","Sunday May 18","TBA"
"INVT","Bionic Jungle","Friday May 16","TBA"
"INZO","Basspod","Sunday May 18","TBA"
"ISOKNOCK","Circuit Grounds","Saturday May 17","TBA"
""ITS MURPH"","Cosmic Meadow","Sunday May 18","TBA"
"JACKIE HOLLANDER","Stereo Bloom","Friday May 16","TBA"
"JAMES HYPE","Kinetic Field","Sunday May 18","TBA"
"JENNA SHAW","Metaphoenix","Friday May 16","TBA"
"JESSICA AUDIFFRED B2B LAYZ","Basspod","Saturday May 17","TBA"
"JON CASEY","Ubuntu","Friday May 16","TBA"
"K.GIANNI","yeEDC!","Sunday May 18","TBA"
"KAMI (HYBRID WARFARE SET)","BeatBox Art Car","Friday May 16","TBA"
"KARABA","Ubuntu","Saturday May 17","TBA"
"KASANGO","Ubuntu","Saturday May 17","TBA"
"KASKADE","Kinetic Field","Saturday May 17","TBA"
"KAYSIN","Metaphoenix","Sunday May 18","TBA"
"KENZII SCOTT","Forest House","Saturday May 17","TBA"
"KIAN","Blacklight Bar","Friday May 16","TBA"
"KIDMAVERICK","yeEDC!","Sunday May 18","TBA"
"KIERAN SAN JOSE","Blacklight Bar","Friday May 16","TBA"
"KILIMANJARO","Ubuntu","Sunday May 18","TBA"
"KITTY AMOR","Ubuntu","Friday May 16","TBA"
"KITTY AMOR","Ubuntu","Saturday May 17","TBA"
"KOMPANY","Basspod","Friday May 16","TBA"
"KOROLOVA","Quantum Valley","Sunday May 18","TBA"
"KROMI","Blacklight Bar","Saturday May 17","TBA"
"KY WILLIAM","Stereo Bloom","Friday May 16","TBA"
"KY WILLIAM B2B ALVES","Metaphoenix","Friday May 16","TBA"
"KYLE WATSON","Stereo Bloom","Friday May 16","TBA"
"LADY FAITH","Wasteland","Sunday May 18","TBA"
"LADY SINCLAIR","Metaphoenix","Friday May 16","TBA"
"LAKE HILLS","Bionic Jungle","Friday May 16","TBA"
"LAURA VAN DAM","Quantum Valley","Sunday May 18","TBA"
"LAUREN MIA","Quantum Valley","Sunday May 18","TBA"
"LAVERN","Kinetic Field","Friday May 16","TBA"
"LAVERN","Forest House","Friday May 16","TBA"
"LAYTON GIORDANI","Circuit Grounds","Friday May 16","TBA"
"LE YOUTH","Quantum Valley","Sunday May 18","TBA"
"LEVEL UP","Basspod","Saturday May 17","TBA"
"LEVENKHAN","Wasteland","Sunday May 18","TBA"
"LEVITY","Basspod","Sunday May 18","TBA"
"LF SYSTEM","Circuit Grounds","Saturday May 17","TBA"
"LIL TEXAS","Wasteland","Saturday May 17","TBA"
"LINNEY","Forest House","Friday May 16","TBA"
"LINSKA","Stereo Bloom","Friday May 16","TBA"
